iter	RMSE
0	97.72464547
1	96.66113654
2	95.85428256
3	94.81944375
4	94.08952927
5	93.0111465
6	92.182614
7	91.17682558
8	90.3349479
9	89.76531531
10	88.93169168
11	88.39313747
12	87.62291053
13	86.90591276
14	86.04400815
15	85.29585123
16	84.57323357
17	84.01966608
18	83.4030571
19	82.83595386
20	82.24161472
21	81.57525319
22	80.9382604
23	80.29883269
24	79.70453936
25	79.27633317
26	78.74690925
27	78.21171772
28	77.77977266
29	77.19292303
30	77.02861132
31	76.49116075
32	75.9245752
33	75.43155162
34	74.9952962
35	74.61541894
36	74.07805838
37	73.57569508
38	73.14200969
39	72.77024576
40	72.35094975
41	71.97015291
42	71.42821193
43	70.99997886
44	70.69066182
45	70.38919603
46	70.05842609
47	69.65957724
48	69.28767594
49	68.97952347
50	68.64073696
51	68.31419472
52	67.94043072
53	67.55557856
54	67.19418813
55	66.84082581
56	66.37084068
57	66.05216828
58	65.80168829
59	65.48389988
60	65.09841484
61	64.78263274
62	64.45995204
63	64.22246899
64	63.79135182
65	63.57484838
66	63.27082004
67	63.01312523
68	62.81190922
69	62.62790322
70	62.41361325
71	62.11733648
72	61.90852729
73	61.63307105
74	61.36724355
75	61.13069312
76	60.88565608
77	60.63185376
78	60.40197723
79	60.16933582
80	59.95006647
81	59.77439378
82	59.33786693
83	58.9643261
84	58.77506471
85	58.60558273
86	58.34767301
87	58.20757318
88	57.94480889
89	57.73448901
90	57.49733239
91	57.34671074
92	57.2043385
93	56.9270917
94	56.5857107
95	56.40219444
96	56.16189396
97	56.00843043
98	55.88559795
99	55.58061364
100	55.47678562
101	55.25381059
102	55.04032006
103	54.90992503
104	54.66459196
105	54.46347423
106	54.34845142
107	54.22672064
108	54.05312397
109	53.96808636
110	53.82636013
111	53.65186299
112	53.51244067
113	53.3168708
114	53.1583175
115	53.05952663
116	52.96592389
117	52.80746195
118	52.54781118
119	52.43332166
120	52.18153513
121	52.09211221
122	51.93632076
123	51.87026652
124	51.80362484
125	51.66946917
126	51.59773206
127	51.4898992
128	51.16071642
129	50.96769738
130	50.75318299
131	50.56008975
132	50.40947941
133	50.18813446
134	49.99729464
135	49.8857931
136	49.72043682
137	49.57626391
138	49.37939787
139	49.20312061
140	49.01833225
141	48.81682176
142	48.68679358
143	48.6353484
144	48.4400001
145	48.26186719
146	48.1284816
147	48.01368257
148	47.81102211
149	47.64247333
150	47.47532114
151	47.31986209
152	47.08445215
153	46.88738843
154	46.75637971
155	46.5978854
156	46.49729428
157	46.34090947
158	46.09899969
159	45.99483859
160	45.8276987
161	45.78312682
162	45.63765561
163	45.4861756
164	45.38537973
165	45.27524446
166	45.18545934
167	45.05886299
168	44.93055974
169	44.88946386
170	44.84957817
171	44.75361049
172	44.57890481
173	44.51421035
174	44.39896734
175	44.3645885
176	44.2630411
177	44.22539194
178	43.97580204
179	43.84501436
180	43.68062111
181	43.48398686
182	43.35200939
183	43.26020168
184	43.15667298
185	43.04799765
186	42.89866548
187	42.7693595
188	42.73512491
189	42.6596726
190	42.62639017
191	42.47127246
192	42.38606531
193	42.25359256
194	42.0978121
195	42.06608647
196	42.03486234
197	41.97886696
198	41.79774286
